,fips_code,state_code,mn_pay,sd_pay,cv_pay,nn_pay,pct_sp1011,pct_sp1012,pct_sp1013,pct_sp1021,pct_sp1022,pct_sp1023,pct_sp1024,pct_sp1025,pct_sp1026,pct_sp1027,pct_sp1028,pct_sp1029
01021,01021,01,33886.26806411837,14568.897196086571,0.4299351338577571,4055.0,0.014730639730639731,0.06260521885521886,0.2206439393939394,0.24515993265993266,0.006944444444444444,0.029145622895622895,0.02377946127946128,0.2015993265993266,0.09564393939393939,0.032617845117845115,0.06712962962962964,0.0
01023,01023,01,37190.26392572945,13540.213613072641,0.3640795246872415,754.0,0.09723352318958503,0.0,0.0,0.3852725793327909,0.007323026851098454,0.037835638730675344,0.045158665581773796,0.25508543531326283,0.06468673718470301,0.038649308380797394,0.06875508543531327,0.0
01025,01025,01,33700.670418006426,17098.139515223607,0.5073530972276442,3110.0,0.040330788804071246,0.01743002544529262,0.21068702290076335,0.23651399491094147,0.0059796437659033076,0.04389312977099236,0.03498727735368957,0.222264631043257,0.0846055979643766,0.016666666666666666,0.0866412213740458,0.0
01027,01027,01,26089.679536679538,17493.199789575327,0.6705026700301779,518.0,0.016164383561643837,0.011506849315068493,0.616986301369863,0.12027397260273973,0.003561643835616438,0.0273972602739726,0.012876712328767123,0.08109589041095891,0.033424657534246574,0.013972602739726028,0.06273972602739726,0.0
01029,01029,01,35189.22555205047,13763.6754767372,0.39113323072082196,634.0,0.04683342203299627,0.10005321979776477,0.15380521554018095,0.2006386375731772,0.0,0.032464076636508785,0.0,0.27088877062267164,0.09419904204364024,0.030867482703565728,0.07025013304949441,0.0
01031,01031,01,31307.026436781613,17764.545754946754,0.5674299918204868,6090.0,0.04155073270265257,0.024237927409880667,0.2272924009151054,0.1999010696840413,0.005750324615099239,0.03450194769059544,0.06857107524887157,0.2003957212638348,0.11154393124343041,0.020095220429110244,0.06615964879737835,0.0
01033,01033,01,45694.51875995944,41442.70679292906,0.9069513787995924,6903.0,0.006565380244939186,0.0681789486974454,0.26404612600479777,0.19919195320062286,0.004671520558899037,0.0362358486595682,0.07398678506796852,0.17545557846891965,0.08459239930979336,0.03884516644922352,0.04823029333782248,0.0
01035,01035,01,34313.50886339938,16855.029658472333,0.49120682252495623,959.0,0.055961844197138316,0.02066772655007949,0.1643879173290938,0.3500794912559618,0.005087440381558029,0.015262321144674086,0.04292527821939587,0.19395866454689983,0.10015898251192369,0.015580286168521463,0.035930047694753574,0.0
01037,01037,01,42252.92452830188,3493.3361783088358,0.08267679024132228,159.0,0.0256797583081571,0.021148036253776436,0.472809667673716,0.11858006042296072,0.0,0.013595166163141994,0.03625377643504532,0.1797583081570997,0.05060422960725076,0.0,0.08157099697885196,0.0
01039,01039,01,34849.15275038352,14713.250029677163,0.42219821339889657,4563.0,0.014726565731777943,0.03780921651360966,0.1863158765615951,0.27541987259038636,0.005046744436171093,0.03648548026805659,0.053197650368164144,0.2401753950525358,0.08463638620004964,0.020600645321419708,0.04558616695623397,0.0
01041,01041,01,32692.746059544657,17448.12320831189,0.5337001418153402,571.0,0.04367754111620383,0.021838770558101916,0.3154489080614721,0.17282286330547317,0.00350498786734969,0.029387975195470477,0.010514963602049069,0.22377999460771097,0.05230520355891076,0.056888649231598816,0.06983014289565921,0.0
01043,01043,01,37634.74475468044,18318.817404080946,0.48675280046379826,12392.0,0.014583406543205538,0.04645605650630776,0.20047791404575324,0.2518185332255684,0.0052711107987489896,0.03109955371261904,0.05938784833257195,0.21393681695189232,0.10760094177179605,0.018765154443546404,0.0506026636679903,0.0
